Curso,grau_academico,Matricula,eixo,Ano,Posicao_P_Google
Pedagogia,Bacharelado,400743,educacao,2017,14
Administração,Bacharelado,192571,ciencias_sociais_Aplicadas,2017,4
Contabilidade,Bacharelado,116581,ciencias_sociais_Aplicadas,2017,0
Serviço Social,Bacharelado,92781,saude,2017,17
Gestão de Pessoas,Tecnologo,88098,ciencias_sociais_Aplicadas,2017,6
Educação Física,Licenciatura,72141,ciencias_sociais_Aplicadas,2017,0
Empreendedorismo,Tecnologo,71236,ciencias_sociais_Aplicadas,2017,0
Administração Pública,Bacharelado,40779,ciencias_sociais_Aplicadas,2017,0
Logistica,Tecnologo,38118,ciencias_sociais_Aplicadas,2017,0
Historia,Licenciatura,32346,humanidade,2017,0
Pedagogia,Licenciatura,440628,educacao,2018,13
Administração,Bacharelado,214133,ciencias_sociais_Aplicadas,2018,4
Contabilidade,Bacharelado,131652,ciencias_sociais_Aplicadas,2018,0
Gestão de Pessoas,Tecnologo,98787,ciencias_sociais_Aplicadas,2018,15
Serviço Social,Bacharelado,86447,saude,2018,0
Educação Física,Licenciatura,70120,educacao,2018,7
Educação Física,Bacharelado,58361,saude,2018,0
Gestão de Negocios,Tecnologo,54572,ciencias_sociais_Aplicadas,2018,0
Sistemas de Informação,Bacharelado,47278,tecnologia,2018,0
Logistica,Tecnologo,45407,ciencias_sociais_Aplicadas,2018,0
Pedagogia,Bacharelado,515057,educacao,2019,16
Administração,Bacharelado,251495,ciencias_sociais_Aplicadas,2019,4
Contabilidade,Bacharelado,151110,ciencias_sociais_Aplicadas,2019,0
Gestão de Pessoas,Tecnologo,117913,ciencias_sociais_Aplicadas,2019,12
Educação Física,Bacharelado,94842,saude,2019,6
Serviço Social,Bacharelado,86391,saude,2019,0
Educação Física,Licenciatura,69634,educacao,2019,0
Gestão de Negocios,Tecnologo,62547,ciencias_sociais_Aplicadas,2019,0
Sistemas de Informação,Bacharelado,60510,tecnologia,2019,0
Logistica,Tecnologo,54803,ciencias_sociais_Aplicadas,2019,0
Pedagogia,Bacharelado,278971,educacao,2020,19
Administração,Bacharelado,160563,ciencias_sociais_Aplicadas,2020,4
Contabilidade,Bacharelado,87601,ciencias_sociais_Aplicadas,2020,0
Gestão de Pessoas,Tecnologo,89303,ciencias_sociais_Aplicadas,2020,15
Educação Física,Bacharelado,75003,saude,2020,9
Serviço Social,Bacharelado,42050,saude,2020,0
Educação Física,Licenciatura,36675,educacao,2020,0
Gestão de Negocios,Tecnologo,43569,ciencias_sociais_Aplicadas,2020,0
Sistemas de Informação,Bacharelado,46872,tecnologia,2020,0
Logistica,Bacharelado,42184,ciencias_sociais_Aplicadas,2020,0